cont,providername,providerid,region,period,usagecategory,product,productdetail,cost,tag:user:name
1,cropwise-databus-prod,5.69741E+11,us-east-2,202305,TimedPITRStorage-ByteHrs,DynamoDB,DynamoDB,0.02756113,prod-valet
2,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Requests,Lambda: All,Lambda: All,0.096054,prod-ingestor-arable
3,cropwise-databus-prod,5.69741E+11,us-east-2,202304,WarmStorage-ByteHrs-EFS,AWS Backup,AWS Backup,112.5132135,prod-ingestor
4,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Storage,Elastic File System,Elastic File System,102.5338689,prod-ingestor
5,cropwise-databus-prod,5.69741E+11,us-east-2,202304,DeliveryAttempts-SQS,SNS: Notifications,SNS: Notifications,0,prod-ingestor
6,cropwise-databus-prod,5.69741E+11,us-east-1,202304,FreeEventsRecorded,CloudTrail,CloudTrail,0,
7,cropwise-databus-prod,5.69741E+11,ap-northeast-2,202305,CW:Requests,CloudWatch,CloudWatch,0.01474,
8,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Requests-Tier1,SQS: Messaging,SQS: Messaging,0.0775956,prod-valet-configurations
9,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Requests,Lambda: All,Lambda: All,0.0179902,prod-ingestor-cropwise
10,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Compute,Lambda: All,Lambda Savings Plan Applied,0.04495453,prod-valet-observations
11,cropwise-databus-prod,5.69741E+11,us-east-2,202305,CW:GMD-Metrics,CloudWatch,CloudWatch,10.55102,
12,cropwise-databus-prod,5.69741E+11,ap-south-1,202305,CW:Requests,CloudWatch,CloudWatch,0.02555,
13,cropwise-databus-prod,5.69741E+11,us-east-2,202304,TimedStorage-ByteHrs,CloudWatch,CloudWatch,0.012150794,prod-ingestor-sencrop
14,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Requests,Lambda: All,Lambda: All,7.40E-06,prod-valet-cost-metering
15,cropwise-databus-prod,5.69741E+11,us-east-2,202303,Data Transfer - Internet (In),Elastic Load Balancer: All,Data Transfer,0,
16,cropwise-databus-prod,5.69741E+11,us-east-2,202303,TimedStorage-ByteHrs,EC2 Container Registry,EC2 Container Registry,0.792893215,
17,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Requests-Tier1,SQS: Messaging,SQS: Messaging,0.3099676,prod-scheduled-tasks
18,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Data Transfer - Internet (Out),API Gateway,Data Transfer,1.109130831,
19,cropwise-databus-prod,5.69741E+11,us-east-2,202301,Storage,S3,S3,0.009536724,prod-infra-efs
20,cropwise-databus-prod,5.69741E+11,us-east-2,202302,On Demand:m6a.2xlarge,EC2: All,EC2: All,699.7552319,prod-cropwise-observations-eks
21,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Read Capacity Units,DynamoDB,DynamoDB,4.61119525,prod-valet
22,cropwise-databus-prod,5.69741E+11,us-east-2,202301,Requests,S3,S3,0.9128764,prod-cropwise-observations
23,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Data Transfer - Region to Region (Out),S3,Data Transfer,4.87E-07,prod-cropwise-observations
24,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Storage,S3,S3,0.568475935,
